person,condition,manipulation
1,t,0
2,t,0
3,t,1
4,t,1
5,t,0
6,t,1
7,t,0
8,t,0
9,t,0
10,t,0
11,t,0
12,t,0
13,t,0
14,t,0
15,t,0
16,t,0
17,t,0
18,t,0
19,t,0
20,t,1
21,t,0
22,t,0
23,t,0
24,t,0
25,t,0
26,t,1
27,t,0
28,t,0
29,t,1
30,t,1
31,t,1
32,t,1
33,t,1
34,t,0
35,t,0
36,t,0
37,t,1
38,t,0
39,t,0
40,t,1
41,t,1
42,t,1
43,t,1
44,t,0
45,t,0
46,t,1
47,t,1
48,t,1
49,c,1
50,c,1
51,c,1
52,c,0
53,c,1
54,c,1
55,c,1
56,c,1
57,c,0
58,c,1
59,c,1
60,c,1
61,c,1
62,c,0
63,c,1
64,c,0
65,c,1
66,c,1
67,c,1
68,c,0
69,c,1
70,c,1
71,c,1
72,c,1
73,c,0
74,c,0
75,c,1
76,c,1
77,c,1
78,c,0
79,c,1
80,c,1
81,c,1
82,c,1
83,c,0
84,c,1
85,c,1
86,c,1
87,c,1
88,c,0
89,c,0
90,c,1
91,c,1
92,c,1
93,c,0
94,c,1
95,c,1
96,c,0
97,b,0
98,b,0
99,b,0
100,b,0
101,b,0
102,b,0
103,b,0
104,b,0
105,b,0
106,b,0
107,b,0
108,b,0
109,b,0
110,b,0
111,b,0
112,b,0
113,b,0
114,b,0
115,b,0
116,b,0
117,b,0
118,b,0
119,b,0
120,b,0
121,b,0
122,b,0
123,b,0
124,b,0
125,b,0
126,b,0
127,b,0
128,b,0
129,b,0
130,b,0
131,b,0
132,b,0
133,b,0
134,b,0
135,b,0
136,b,0
137,b,0
138,b,0
139,b,0
140,b,0
141,b,0
142,b,0
143,b,0
144,b,0
Treatment,t,0.375
Control,c,0.729166666666667
Baseline,b,0